<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.28	01:05:00	42308.51	42312.51	42305.51	42305.51	28	0	278
2025.03.28	01:06:00	42306.01	42308.51	42301.51	42302.01	23	0	278
2025.03.28	01:07:00	42303.51	42303.51	42297.01	42299.01	22	0	278
2025.03.28	01:08:00	42298.51	42299.01	42294.01	42294.01	13	0	278
2025.03.28	01:09:00	42294.01	42294.01	42289.01	42290.01	29	0	278
2025.03.28	01:10:00	42286.01	42288.51	42285.01	42287.01	26	0	278
2025.03.28	01:11:00	42288.01	42296.51	42286.51	42294.51	44	0	278
2025.03.28	01:12:00	42295.01	42295.01	42289.01	42292.01	27	0	278
2025.03.28	01:13:00	42292.01	42292.01	42290.51	42291.11	5	0	268
2025.03.28	01:14:00	42291.11	42293.11	42290.61	42292.61	16	0	268
2025.03.28	01:15:00	42292.11	42293.61	42288.61	42289.11	21	0	258
2025.03.28	01:16:00	42290.11	42291.11	42288.11	42290.11	13	0	258
2025.03.28	01:17:00	42290.21	42296.11	42287.11	42295.61	25	0	248
2025.03.28	01:18:00	42296.11	42299.11	42294.61	42299.11	20	0	258
2025.03.28	01:19:00	42300.11	42302.11	42298.61	42299.11	16	0	268
2025.03.28	01:20:00	42298.11	42300.11	42297.11	42298.11	17	0	258
2025.03.28	01:21:00	42297.11	42298.11	42297.11	42298.11	3	0	258
2025.03.28	01:22:00	42297.11	42304.11	42296.11	42304.11	20	0	258
2025.03.28	01:23:00	42302.61	42303.11	42298.61	42302.11	25	0	258
2025.03.28	01:24:00	42303.11	42305.61	42302.61	42303.11	18	0	258
2025.03.28	01:25:00	42303.11	42304.11	42301.11	42301.11	12	0	258
2025.03.28	01:26:00	42301.11	42309.81	42301.11	42309.81	8	0	258
2025.03.28	01:27:00	42309.81	42311.21	42308.81	42310.71	14	0	268
2025.03.28	01:28:00	42311.21	42312.81	42308.31	42308.31	22	0	268
2025.03.28	01:29:00	42307.81	42308.81	42305.31	42305.81	14	0	268
2025.03.28	01:30:00	42305.81	42310.31	42305.81	42310.31	10	0	268
2025.03.28	01:31:00	42309.81	42310.31	42303.81	42304.31	20	0	268
2025.03.28	01:32:00	42304.81	42309.81	42304.81	42308.81	13	0	268
2025.03.28	01:33:00	42310.31	42311.81	42308.31	42311.31	18	0	268
2025.03.28	01:34:00	42311.31	42312.81	42308.31	42308.31	13	0	268
2025.03.28	01:35:00	42307.81	42313.31	42306.31	42311.31	15	0	268
2025.03.28	01:36:00	42311.31	42315.31	42311.31	42311.81	10	0	268
2025.03.28	01:37:00	42311.81	42314.31	42311.31	42313.81	11	0	268
2025.03.28	01:38:00	42313.81	42317.31	42312.81	42316.31	16	0	258
2025.03.28	01:39:00	42316.81	42316.81	42315.81	42316.81	6	0	258
2025.03.28	01:40:00	42316.81	42316.81	42313.31	42313.81	7	0	258
2025.03.28	01:41:00	42314.81	42315.31	42313.41	42313.41	17	0	248
2025.03.28	01:42:00	42313.41	42316.41	42312.91	42316.41	9	0	248
2025.03.28	01:43:00	42316.91	42316.91	42313.91	42314.91	8	0	248
2025.03.28	01:44:00	42312.91	42314.91	42312.91	42314.91	8	0	248
2025.03.28	01:45:00	42313.41	42314.41	42312.91	42312.91	4	0	248
2025.03.28	01:46:00	42312.91	42312.91	42308.91	42312.41	14	0	248
2025.03.28	01:47:00	42312.91	42314.91	42312.91	42313.31	21	0	248
2025.03.28	01:48:00	42313.41	42314.91	42313.31	42314.91	16	0	248
2025.03.28	01:49:00	42314.41	42314.41	42307.81	42308.81	13	0	248
2025.03.28	01:50:00	42309.31	42311.31	42308.31	42310.81	12	0	258
2025.03.28	01:51:00	42309.81	42309.81	42305.81	42309.31	10	0	258
2025.03.28	01:52:00	42308.81	42308.81	42304.81	42306.31	13	0	258
2025.03.28	01:53:00	42305.81	42308.31	42304.81	42306.31	17	0	258
2025.03.28	01:54:00	42306.81	42307.31	42300.81	42300.81	17	0	248
2025.03.28	01:55:00	42300.31	42302.31	42298.81	42298.81	14	0	258
2025.03.28	01:56:00	42300.31	42300.31	42294.81	42296.81	22	0	258
2025.03.28	01:57:00	42296.81	42297.81	42295.31	42295.31	8	0	258
2025.03.28	01:58:00	42295.81	42296.81	42295.81	42296.81	7	0	258
2025.03.28	01:59:00	42297.31	42299.81	42293.91	42293.91	21	0	248
2025.03.28	02:00:00	42293.91	42304.81	42293.91	42298.21	43	0	248
2025.03.28	02:01:00	42298.71	42298.71	42293.21	42294.21	19	0	278
2025.03.28	02:02:00	42293.71	42295.21	42291.21	42293.21	23	0	278
2025.03.28	02:03:00	42294.21	42294.21	42278.21	42283.71	42	0	278
2025.03.28	02:04:00	42283.21	42283.21	42272.71	42276.21	56	0	278
2025.03.28	02:05:00	42277.71	42277.71	42262.71	42262.71	53	0	278
2025.03.28	02:06:00	42257.71	42273.71	42254.71	42271.21	51	0	278
2025.03.28	02:07:00	42269.21	42269.71	42262.21	42265.71	42	0	278
2025.03.28	02:08:00	42265.21	42266.21	42259.71	42262.21	33	0	278
2025.03.28	02:09:00	42261.71	42262.21	42257.21	42259.71	25	0	278
2025.03.28	02:10:00	42260.71	42267.71	42260.71	42266.71	22	0	278
2025.03.28	02:11:00	42267.21	42270.21	42260.21	42260.71	35	0	278
2025.03.28	02:12:00	42260.21	42260.21	42253.71	42257.71	36	0	278
2025.03.28	02:13:00	42258.21	42268.21	42258.21	42267.21	34	0	278
2025.03.28	02:14:00	42266.71	42270.21	42265.21	42267.21	28	0	278
2025.03.28	02:15:00	42266.71	42271.71	42265.71	42268.21	30	0	278
2025.03.28	02:16:00	42268.71	42268.71	42258.21	42263.21	41	0	278
2025.03.28	02:17:00	42261.21	42266.21	42261.21	42264.71	20	0	278
2025.03.28	02:18:00	42266.21	42279.71	42266.21	42275.71	29	0	278
2025.03.28	02:19:00	42276.71	42276.71	42269.21	42269.21	22	0	278
2025.03.28	02:20:00	42269.71	42275.21	42269.21	42275.21	34	0	278
2025.03.28	02:21:00	42276.21	42276.21	42271.21	42273.21	38	0	278
2025.03.28	02:22:00	42272.71	42273.21	42269.21	42270.21	18	0	278
2025.03.28	02:23:00	42269.71	42270.81	42266.31	42269.81	32	0	268
2025.03.28	02:24:00	42271.31	42272.81	42269.31	42270.81	18	0	268
2025.03.28	02:25:00	42270.31	42272.31	42268.81	42268.81	20	0	268
2025.03.28	02:26:00	42269.81	42275.31	42269.81	42272.81	29	0	268
2025.03.28	02:27:00	42274.31	42274.81	42270.31	42270.31	17	0	268
2025.03.28	02:28:00	42269.81	42277.81	42269.81	42277.21	15	0	268
2025.03.28	02:29:00	42276.21	42277.31	42274.21	42276.31	38	0	268
2025.03.28	02:30:00	42276.31	42276.81	42267.71	42267.71	48	0	268
2025.03.28	02:31:00	42267.21	42272.21	42263.21	42264.71	23	0	278
2025.03.28	02:32:00	42265.21	42269.71	42260.21	42260.21	26	0	278
2025.03.28	02:33:00	42261.21	42263.21	42258.21	42263.21	32	0	278
2025.03.28	02:34:00	42261.21	42261.21	42256.21	42259.21	20	0	278
2025.03.28	02:35:00	42258.21	42264.71	42258.21	42262.21	35	0	278
2025.03.28	02:36:00	42261.21	42261.71	42257.71	42258.21	22	0	278
2025.03.28	02:37:00	42258.21	42258.21	42253.21	42256.21	41	0	278
2025.03.28	02:38:00	42256.71	42257.71	42252.71	42253.71	37	0	278
2025.03.28	02:39:00	42252.71	42257.31	42252.71	42255.81	21	0	268
2025.03.28	02:40:00	42255.81	42260.71	42252.81	42260.21	35	0	268
2025.03.28	02:41:00	42260.21	42263.21	42259.21	42261.71	12	0	278
2025.03.28	02:42:00	42264.71	42265.71	42262.21	42264.21	26	0	278
2025.03.28	02:43:00	42265.21	42268.21	42260.21	42267.21	26	0	278
2025.03.28	02:44:00	42269.21	42270.21	42268.21	42269.71	13	0	278
2025.03.28	02:45:00	42269.21	42274.71	42265.21	42274.21	42	0	278
2025.03.28	02:46:00	42274.21	42276.21	42273.21	42275.21	17	0	278
2025.03.28	02:47:00	42275.21	42276.31	42268.21	42274.21	43	0	268
2025.03.28	02:48:00	42275.21	42276.21	42273.21	42275.81	13	0	268
2025.03.28	02:49:00	42276.81	42279.81	42276.81	42279.81	6	0	268
2025.03.28	02:50:00	42281.31	42284.81	42277.21	42281.21	29	0	268
2025.03.28	02:51:00	42282.21	42283.21	42280.71	42283.21	16	0	278
2025.03.28	02:52:00	42282.21	42287.81	42282.21	42285.31	23	0	268
2025.03.28	02:53:00	42284.31	42287.81	42284.31	42285.81	21	0	268
2025.03.28	02:54:00	42284.31	42287.81	42284.31	42287.81	17	0	268
2025.03.28	02:55:00	42287.81	42293.81	42287.31	42290.81	26	0	268
2025.03.28	02:56:00	42290.81	42293.31	42288.31	42293.31	21	0	268
2025.03.28	02:57:00	42292.81	42293.31	42287.31	42288.31	28	0	268
2025.03.28	02:58:00	42288.31	42288.31	42284.31	42284.81	20	0	268
2025.03.28	02:59:00	42285.31	42289.31	42284.81	42288.21	23	0	268
2025.03.28	03:00:00	42288.21	42294.21	42283.21	42284.21	71	0	268
2025.03.28	03:01:00	42282.21	42282.21	42275.21	42277.71	56	0	278
2025.03.28	03:02:00	42277.21	42278.21	42275.21	42276.71	35	0	278
2025.03.28	03:03:00	42277.21	42277.21	42261.21	42264.21	47	0	278
2025.03.28	03:04:00	42263.71	42264.21	42244.71	42264.21	54	0	278
2025.03.28	03:05:00	42263.21	42264.21	42255.21	42262.71	46	0	278
2025.03.28	03:06:00	42263.71	42270.71	42263.21	42264.21	44	0	278
2025.03.28	03:07:00	42263.21	42271.71	42259.21	42270.21	50	0	278
2025.03.28	03:08:00	42270.21	42271.71	42266.21	42271.71	31	0	278
2025.03.28	03:09:00	42271.21	42274.21	42266.71	42270.71	25	0	278
2025.03.28	03:10:00	42270.21	42275.21	42264.71	42274.71	37	0	278
2025.03.28	03:11:00	42275.71	42280.71	42271.21	42274.71	50	0	278
2025.03.28	03:12:00	42274.21	42277.71	42258.21	42260.71	67	0	278
2025.03.28	03:13:00	42259.71	42261.71	42256.71	42260.21	26	0	278
2025.03.28	03:14:00	42259.71	42268.71	42257.21	42268.21	39	0	278
2025.03.28	03:15:00	42268.71	42274.71	42266.21	42274.71	51	0	278
2025.03.28	03:16:00	42276.71	42284.21	42275.21	42283.21	46	0	278
2025.03.28	03:17:00	42284.71	42285.71	42282.71	42284.71	33	0	278
2025.03.28	03:18:00	42285.71	42289.21	42282.21	42289.21	37	0	278
2025.03.28	03:19:00	42288.71	42293.21	42287.71	42292.71	29	0	278
2025.03.28	03:20:00	42292.21	42294.21	42288.21	42290.21	36	0	268
2025.03.28	03:21:00	42291.71	42293.71	42286.71	42288.21	38	0	278
2025.03.28	03:22:00	42288.21	42293.71	42288.21	42290.21	41	0	278
2025.03.28	03:23:00	42291.71	42295.71	42291.71	42293.71	21	0	278
2025.03.28	03:24:00	42294.21	42296.71	42293.21	42296.21	19	0	278
2025.03.28	03:25:00	42296.71	42297.31	42294.21	42296.31	35	0	268
2025.03.28	03:26:00	42296.31	42299.81	42296.31	42297.81	18	0	268
2025.03.28	03:27:00	42297.81	42298.81	42296.31	42296.31	23	0	258
2025.03.28	03:28:00	42295.81	42300.81	42295.81	42300.81	13	0	258
2025.03.28	03:29:00	42300.81	42300.81	42295.31	42298.31	23	0	258
2025.03.28	03:30:00	42297.81	42298.81	42297.81	42298.81	3	0	258
2025.03.28	03:31:00	42297.31	42301.81	42297.31	42299.81	25	0	258
2025.03.28	03:32:00	42300.31	42302.31	42297.31	42300.81	25	0	268
2025.03.28	03:33:00	42300.31	42300.81	42295.31	42299.81	16	0	268
2025.03.28	03:34:00	42299.81	42300.81	42299.81	42299.81	6	0	268
2025.03.28	03:35:00	42300.31	42300.31	42294.81	42298.31	19	0	268
2025.03.28	03:36:00	42297.81	42310.81	42296.31	42307.71	33	0	268
2025.03.28	03:37:00	42306.71	42306.71	42301.71	42303.21	35	0	268
2025.03.28	03:38:00	42302.71	42303.21	42300.31	42302.31	18	0	268
2025.03.28	03:39:00	42301.31	42305.81	42300.81	42305.81	15	0	268
2025.03.28	03:40:00	42307.31	42308.31	42304.81	42305.81	25	0	268
2025.03.28	03:41:00	42305.31	42309.31	42305.31	42308.81	12	0	258
2025.03.28	03:42:00	42309.31	42310.81	42306.81	42307.31	24	0	258
2025.03.28	03:43:00	42306.81	42307.81	42304.81	42306.81	20	0	258
2025.03.28	03:44:00	42307.81	42307.81	42305.81	42306.81	10	0	258
2025.03.28	03:45:00	42306.31	42306.31	42300.31	42303.81	29	0	258
2025.03.28	03:46:00	42304.31	42309.81	42304.31	42309.81	21	0	268
2025.03.28	03:47:00	42309.31	42309.81	42307.31	42308.81	25	0	268
2025.03.28	03:48:00	42307.31	42310.31	42307.31	42308.31	30	0	268
2025.03.28	03:49:00	42308.81	42309.81	42308.31	42309.81	17	0	268
2025.03.28	03:50:00	42310.81	42319.81	42310.31	42319.81	30	0	258
2025.03.28	03:51:00	42319.31	42323.81	42317.81	42323.31	37	0	268
2025.03.28	03:52:00	42322.81	42325.31	42321.31	42324.81	27	0	268
2025.03.28	03:53:00	42325.31	42325.31	42321.31	42323.31	29	0	268
2025.03.28	03:54:00	42323.31	42324.81	42321.31	42321.31	27	0	268
2025.03.28	03:55:00	42321.31	42321.81	42315.81	42321.81	32	0	268
2025.03.28	03:56:00	42321.81	42323.81	42321.81	42322.81	11	0	268
2025.03.28	03:57:00	42322.81	42323.81	42320.81	42320.81	14	0	258
2025.03.28	03:58:00	42321.31	42321.31	42318.81	42321.31	16	0	258
2025.03.28	03:59:00	42320.31	42321.81	42320.31	42320.31	18	0	258
2025.03.28	04:00:00	42319.81	42325.31	42319.81	42323.81	29	0	258
2025.03.28	04:01:00	42323.81	42323.81	42316.81	42320.31	32	0	258
2025.03.28	04:02:00	42320.81	42325.31	42318.31	42324.81	48	0	258
2025.03.28	04:03:00	42324.81	42324.81	42318.81	42319.81	27	0	258
2025.03.28	04:04:00	42320.31	42322.81	42319.31	42322.31	19	0	268
2025.03.28	04:05:00	42321.81	42322.81	42320.31	42322.81	21	0	268
2025.03.28	04:06:00	42322.31	42322.81	42320.31	42321.81	21	0	258
2025.03.28	04:07:00	42321.31	42321.81	42318.81	42321.81	16	0	258
2025.03.28	04:08:00	42322.31	42323.31	42319.81	42322.31	28	0	258
2025.03.28	04:09:00	42322.81	42324.31	42319.81	42321.31	38	0	258
2025.03.28	04:10:00	42321.81	42323.81	42319.31	42321.81	36	0	258
2025.03.28	04:11:00	42321.81	42324.31	42321.81	42322.81	13	0	258
2025.03.28	04:12:00	42321.81	42322.81	42319.81	42322.81	25	0	258
2025.03.28	04:13:00	42321.81	42322.81	42321.81	42322.81	20	0	258
2025.03.28	04:14:00	42322.81	42322.81	42318.81	42322.81	32	0	258
2025.03.28	04:15:00	42322.81	42330.81	42322.31	42330.31	61	0	258
2025.03.28	04:16:00	42331.81	42332.31	42325.81	42328.71	55	0	268
2025.03.28	04:17:00	42330.21	42331.71	42328.21	42328.71	39	0	278
2025.03.28	04:18:00	42329.21	42332.71	42328.71	42330.21	29	0	278
2025.03.28	04:19:00	42330.71	42333.71	42329.71	42331.71	27	0	278
2025.03.28	04:20:00	42332.21	42335.71	42330.21	42330.71	21	0	278
2025.03.28	04:21:00	42329.71	42331.21	42328.71	42329.81	27	0	268
2025.03.28	04:22:00	42329.81	42334.31	42328.81	42334.31	26	0	268
2025.03.28	04:23:00	42333.81	42335.31	42330.81	42333.31	17	0	268
2025.03.28	04:24:00	42333.31	42336.81	42333.31	42336.31	20	0	258
2025.03.28	04:25:00	42336.81	42336.81	42334.31	42336.31	9	0	258
2025.03.28	04:26:00	42335.31	42335.31	42329.31	42334.31	28	0	258
2025.03.28	04:27:00	42333.81	42334.31	42329.31	42331.31	23	0	258
2025.03.28	04:28:00	42332.31	42333.31	42330.81	42332.81	18	0	258
2025.03.28	04:29:00	42331.81	42336.31	42331.81	42334.81	18	0	258
2025.03.28	04:30:00	42333.81	42336.81	42331.31	42332.31	77	0	258
2025.03.28	04:31:00	42331.81	42335.31	42328.81	42333.81	46	0	258
2025.03.28	04:32:00	42333.31	42334.81	42331.31	42334.81	30	0	268
2025.03.28	04:33:00	42333.81	42334.81	42332.81	42334.81	10	0	268
2025.03.28	04:34:00	42336.31	42338.81	42334.81	42337.81	38	0	268
2025.03.28	04:35:00	42338.81	42338.81	42334.81	42336.81	24	0	268
2025.03.28	04:36:00	42336.81	42339.81	42335.31	42338.31	25	0	268
2025.03.28	04:37:00	42338.81	42339.81	42337.81	42339.31	22	0	258
2025.03.28	04:38:00	42338.81	42340.31	42336.81	42338.81	22	0	258
2025.03.28	04:39:00	42338.81	42338.81	42336.31	42337.81	26	0	258
2025.03.28	04:40:00	42337.31	42339.81	42334.81	42338.81	39	0	258
2025.03.28	04:41:00	42338.81	42338.81	42333.81	42333.81	36	0	258
2025.03.28	04:42:00	42334.31	42335.31	42332.81	42332.81	22	0	258
2025.03.28	04:43:00	42333.31	42338.31	42331.81	42334.81	18	0	258
2025.03.28	04:44:00	42334.81	42336.81	42333.81	42336.31	29	0	268
2025.03.28	04:45:00	42335.81	42335.81	42322.81	42325.81	37	0	268
2025.03.28	04:46:00	42325.31	42326.31	42322.81	42322.81	32	0	268
2025.03.28	04:47:00	42323.31	42327.31	42322.81	42323.81	29	0	268
2025.03.28	04:48:00	42324.31	42327.81	42323.81	42327.81	21	0	268
2025.03.28	04:49:00	42326.31	42326.31	42322.81	42324.81	23	0	268
2025.03.28	04:50:00	42325.31	42325.31	42316.31	42321.81	45	0	268
2025.03.28	04:51:00	42320.81	42322.81	42319.81	42322.81	24	0	268
2025.03.28	04:52:00	42322.81	42322.81	42318.31	42318.81	12	0	258
2025.03.28	04:53:00	42319.31	42321.81	42318.81	42320.81	21	0	258
2025.03.28	04:54:00	42321.81	42323.81	42321.81	42323.81	13	0	258
2025.03.28	04:55:00	42323.31	42323.31	42315.81	42315.81	36	0	258
2025.03.28	04:56:00	42316.31	42318.81	42314.81	42318.31	31	0	258
2025.03.28	04:57:00	42316.81	42320.31	42316.81	42318.31	27	0	258
2025.03.28	04:58:00	42317.81	42319.81	42313.81	42313.81	20	0	268
2025.03.28	04:59:00	42313.81	42314.31	42308.81	42311.31	35	0	268
2025.03.28	05:00:00	42311.31	42318.81	42308.81	42318.81	50	0	268
2025.03.28	05:01:00	42318.31	42324.81	42318.31	42324.81	23	0	268
2025.03.28	05:02:00	42324.81	42327.31	42323.81	42325.31	28	0	268
2025.03.28	05:03:00	42325.81	42330.31	42325.81	42329.81	33	0	268
2025.03.28	05:04:00	42329.31	42333.81	42328.81	42331.31	29	0	268
2025.03.28	05:05:00	42331.31	42331.31	42326.81	42328.31	21	0	258
2025.03.28	05:06:00	42327.81	42328.31	42325.31	42325.31	21	0	258
2025.03.28	05:07:00	42324.81	42325.81	42323.31	42324.81	23	0	258
2025.03.28	05:08:00	42325.31	42329.81	42325.31	42329.31	29	0	258
2025.03.28	05:09:00	42329.81	42329.81	42327.31	42328.81	14	0	258
2025.03.28	05:10:00	42328.31	42331.31	42326.81	42327.31	31	0	258
2025.03.28	05:11:00	42327.81	42327.81	42326.81	42326.81	5	0	258
2025.03.28	05:12:00	42326.81	42327.41	42324.31	42325.81	21	0	248
2025.03.28	05:13:00	42325.31	42327.31	42321.81	42326.81	31	0	258
2025.03.28	05:14:00	42326.81	42327.31	42325.31	42327.31	26	0	258
2025.03.28	05:15:00	42326.81	42333.31	42326.81	42328.81	33	0	258
2025.03.28	05:16:00	42329.81	42330.81	42329.31	42330.81	29	0	258
2025.03.28	05:17:00	42330.31	42331.81	42329.31	42329.81	17	0	258
2025.03.28	05:18:00	42330.81	42333.31	42330.31	42331.81	14	0	258
2025.03.28	05:19:00	42331.31	42335.81	42331.31	42335.31	18	0	248
2025.03.28	05:20:00	42335.81	42335.91	42334.91	42334.91	3	0	248
2025.03.28	05:21:00	42334.91	42336.41	42333.41	42334.91	18	0	238
2025.03.28	05:22:00	42335.41	42336.41	42334.41	42335.41	36	0	248
2025.03.28	05:23:00	42335.91	42335.91	42333.91	42333.91	16	0	248
2025.03.28	05:24:00	42334.41	42336.91	42334.41	42335.91	10	0	248
2025.03.28	05:25:00	42335.91	42338.91	42335.91	42338.41	13	0	248
2025.03.28	05:26:00	42338.91	42339.91	42336.41	42339.91	20	0	248
2025.03.28	05:27:00	42339.91	42340.91	42338.91	42339.91	15	0	248
2025.03.28	05:28:00	42339.41	42339.91	42337.91	42338.41	13	0	248
2025.03.28	05:29:00	42338.41	42340.91	42337.91	42340.91	17	0	238
2025.03.28	05:30:00	42340.91	42344.41	42340.91	42340.91	21	0	248
2025.03.28	05:31:00	42340.41	42346.91	42339.41	42345.81	32	0	248
2025.03.28	05:32:00	42346.31	42348.31	42345.31	42346.81	44	0	258
2025.03.28	05:33:00	42347.31	42350.31	42346.81	42347.81	18	0	258
2025.03.28	05:34:00	42348.31	42350.81	42347.81	42349.81	16	0	258
2025.03.28	05:35:00	42349.81	42349.81	42346.31	42346.81	16	0	258
2025.03.28	05:36:00	42345.81	42347.81	42345.81	42346.31	17	0	258
2025.03.28	05:37:00	42345.31	42346.81	42343.81	42344.41	28	0	248
2025.03.28	05:38:00	42344.91	42348.81	42344.91	42348.41	16	0	248
2025.03.28	05:39:00	42348.41	42349.31	42346.81	42346.91	22	0	248
2025.03.28	05:40:00	42346.91	42347.91	42344.91	42347.41	11	0	248
2025.03.28	05:41:00	42347.91	42347.91	42344.81	42347.31	13	0	248
2025.03.28	05:42:00	42347.31	42347.91	42346.91	42346.91	4	0	248
2025.03.28	05:43:00	42346.91	42349.41	42344.41	42349.41	15	0	248
2025.03.28	05:44:00	42348.41	42348.41	42346.41	42346.91	13	0	248
2025.03.28	05:45:00	42346.91	42346.91	42344.91	42344.91	9	0	248
2025.03.28	05:46:00	42344.91	42345.91	42341.91	42345.41	12	0	248
2025.03.28	05:47:00	42345.41	42347.41	42344.91	42344.91	13	0	248
2025.03.28	05:48:00	42344.91	42344.91	42343.41	42343.41	6	0	248
2025.03.28	05:49:00	42343.41	42343.41	42341.91	42342.91	14	0	248
2025.03.28	05:50:00	42342.91	42344.91	42342.91	42342.91	16	0	248
2025.03.28	05:51:00	42340.91	42340.91	42339.41	42339.91	11	0	248
2025.03.28	05:52:00	42339.91	42339.91	42335.91	42337.91	12	0	248
2025.03.28	05:53:00	42338.91	42338.91	42337.91	42338.91	7	0	248
2025.03.28	05:54:00	42338.41	42338.41	42337.41	42337.41	13	0	248
2025.03.28	05:55:00	42336.91	42337.91	42334.91	42337.91	29	0	248
2025.03.28	05:56:00	42337.41	42338.41	42337.41	42337.91	26	0	248
2025.03.28	05:57:00	42338.41	42339.41	42334.91	42334.91	13	0	248
2025.03.28	05:58:00	42335.41	42335.91	42333.41	42335.41	16	0	248
2025.03.28	05:59:00	42335.91	42336.91	42335.31	42335.81	23	0	248
2025.03.28	06:00:00	42336.81	42337.81	42333.81	42334.81	29	0	258
2025.03.28	06:01:00	42334.81	42335.81	42333.81	42333.81	17	0	258
